Musteri_ID,Musteri_Yas,Musteri_Cins,Ayliq_Emekhaqqi,Bankla_Emekdasliq_Muddeti_Ay,Risk_Seqmenti,Aktiv_Kartlarin_Sayi,Kredit_Karti_Limiti,Kredit_Karti_Borcu,Istehlak_Krediti_Statusu,Ayliq_Kredit_Odenisi,Depozit_Portfeli_Hecmi,Son_3_Ayda_Mobil_Tetbiqe_Giris_Sayi,Son_1_Ayda_Filiala_Muraciet_Sayi,Qebz_ID,Tranzaksiya_Tarixi_Saati,Umumi_Mebleg,Odenis_Novu_Detalli,Satici_Adi,MCC_Kateqoriya,Umumi_EDV_Meblegi,Qaytarilan_EDV_Meblegi,EDV_Muraciet_Statusu,EDV_Imtina_Sebebi
10027,39,Qadın,2230.0,33,Aşağı,1,6690.0,1158.01,Yoxdur,0.0,17711.73,48,0,3413576198476,2025-06-27 11:06:03.638411,227.27,Nağdsız_Bankın_Kartı,Vapiano,Restoran/Kafe,34.67,5.2,Təsdiqləndi,
10079,77,Kişi,669.0,47,Aşağı,1,0.0,0.0,Yoxdur,0.0,6203.19,20,1,9106100307394,2025-07-02 12:11:54.093184,47.55,Nağdsız_Bankın_Kartı,Bazarstore,Supermarket,7.25,1.09,Təsdiqləndi,
10030,30,Kişi,1311.0,62,Aşağı,3,1966.5,1047.63,Aktiv,354.28,3286.91,67,0,2154390283073,2025-05-03 06:07:50.522000,209.84,Nağdsız_Bankın_Kartı,Mado,Restoran/Kafe,32.01,4.8,Təsdiqləndi,
10019,48,Kişi,1702.0,259,Orta,4,3404.0,2686.59,Aktiv,479.12,2206.67,34,0,4391719524292,2025-06-09 14:54:44.728635,32.35,Nağdsız_Başqa_Kart,Bazarstore,Supermarket,4.93,0.74,Təsdiqləndi,
10093,33,Qadın,1560.0,82,Aşağı,2,2340.0,852.84,Yoxdur,0.0,7227.29,47,0,5451636957646,2025-07-13 13:05:05.878675,57.98,Nağdsız_Bankın_Kartı,Neptun,Supermarket,8.84,1.33,Təsdiqləndi,
10026,40,Kişi,,109,Aşağı,1,10002.0,1472.5,Yoxdur,0.0,23166.74,33,0,6678488213303,2025-07-29 17:44:48.120857,87.72,Nağdsız_Bankın_Kartı,Nike Store,Geyim/Ayaqqabı,13.38,2.01,Təsdiqləndi,
10079,77,Kişi,669.0,47,,1,0.0,0.0,Yoxdur,0.0,6203.19,20,1,0747329596406,2025-09-22 02:46:15.996173,5.0,Nağdsız_Bankın_Kartı,Avis Aptek,Aptek,0.76,0.11,Gözləmədə,
10058,46,Qadın,3052.0,88,Aşağı,3,9156.0,3217.52,Yoxdur,0.0,42250.7,56,0,1575770545642,2025-08-03 06:52:25.521459,102.53,Nağdsız_Bankın_Kartı,Optimal,Elektronika/Məişət,15.64,2.35,Təsdiqləndi,
10011,54,Kişi,3182.0,300,Aşağı,4,9546.0,2277.84,Yoxdur,0.0,35253.94,52,0,6464420481888,2025-06-17 13:16:14.090840,134.72,Nağd,BakuBus Kart Artırılması,Nəqliyyat,20.55,2.06,Təsdiqləndi,
10046,47,Qadın,,51,Aşağı,1,7701.0,4956.76,Yoxdur,0.0,35656.72,48,0,0873988252005,2025-09-27 12:02:14.029482,168.76,Nağdsız_Başqa_Kart,KFC,Restoran/Kafe,25.74,3.86,Təsdiqləndi,
10027,39,Qadın,2230.0,33,Aşağı,1,6690.0,1158.01,Yoxdur,0.0,17711.73,48,0,9967523647951,2025-04-29 07:26:36.990031,54.58,Nağdsız_Bankın_Kartı,ZARA,Geyim/Ayaqqabı,8.33,1.25,Təsdiqləndi,
10058,46,Qadın,3052.0,88,Aşağı,3,9156.0,3217.52,Yoxdur,0.0,42250.7,56,0,2569969622674,2025-04-13 21:53:56.172689,92.83,Nağd,Coffeesta,Restoran/Kafe,14.16,1.42,Təsdiqləndi,
10022,44,Qadın,2792.0,3,Aşağı,3,8376.0,5787.5,Yoxdur,0.0,25146.61,57,0,4392908585179,2025-04-05 17:21:27.249669,148.86,Nağdsız_Bankın_Kartı,Socar,YDM,22.71,3.41,Təsdiqləndi,
10012,35,Kişi,2741.0,118,Aşağı,1,8223.0,2453.33,Yoxdur,0.0,37133.19,50,0,6782748707419,2025-05-14 07:27:42.404461,82.24,Nağdsız_Bankın_Kartı,Socar,YDM,12.55,1.88,Təsdiqləndi,
10026,40,Kişi,,109,Aşağı,1,10002.0,1472.5,Yoxdur,0.0,23166.74,33,0,5565785848034,2025-07-06 10:30:05.637571,69.2,Nağdsız_Bankın_Kartı,,Restoran/Kafe,10.56,1.58,Təsdiqləndi,
10085,23,Kişi,2469.0,1,Aşağı,3,3703.5,0.0,Aktiv,689.41,4438.17,74,0,0503686813445,2025-05-29 14:12:05.518775,42.57,Nağdsız_Bankın_Kartı,Park Cinema,Əyləncə/Asudə Vaxt,6.49,0.97,Təsdiqləndi,
10059,31,Kişi,983.0,3,Orta,1,1966.0,1116.0,Yoxdur,0.0,1775.92,43,0,3471921768759,2025-04-02 03:27:22.088186,20.71,Nağdsız_Bankın_Kartı,Mango,Geyim/Ayaqqabı,3.16,0.47,İmtina edildi,Təkrarlanan müraciət
10013,38,Kişi,3018.0,188,Aşağı,1,9054.0,0.0,Yoxdur,0.0,18187.02,59,0,4161939322546,2025-06-20 20:45:56.607234,146.27,Nağdsız_Bankın_Kartı,Neptun,Supermarket,22.31,3.35,Təsdiqləndi,
10029,38,Qadın,1090.0,161,Orta,2,2180.0,0.0,Aktiv,476.21,1612.78,46,1,7783176547680,2025-06-10 05:03:14.129693,17.98,Nağdsız_Bankın_Kartı,Bravo,Supermarket,2.74,0.41,Təsdiqləndi,
10053,30,Kişi,1983.0,142,Orta,2,3966.0,0.0,Yoxdur,0.0,3039.7,25,0,3094195108345,2025-08-17 08:03:48.276698,19.81,Nağdsız_Bankın_Kartı,Favorit,Supermarket,3.02,0.45,Təsdiqləndi,
10020,39,Kişi,1982.0,170,,1,3964.0,3528.28,Yoxdur,0.0,4064.14,20,0,0672270785062,2025-07-08 07:47:21.789444,60.6,Nağdsız_Bankın_Kartı,Araz,Supermarket,9.24,1.39,Təsdiqləndi,
10062,35,Qadın,1994.0,14,Orta,2,3988.0,0.0,Aktiv,688.17,5072.32,45,0,7841752602161,2025-07-22 15:39:02.384284,23.62,Nağdsız_Bankın_Kartı,Lukoil,YDM,3.6,0.54,Təsdiqləndi,
10031,42,Kişi,1940.0,51,Orta,2,3880.0,0.0,Yoxdur,0.0,5779.89,37,0,5337770181317,2025-06-27 08:37:16.067895,37.85,Nağdsız_Bankın_Kartı,Bazarstore,Supermarket,5.77,0.87,Təsdiqləndi,
10016,44,Kişi,3306.0,210,Aşağı,3,9918.0,6315.53,Yoxdur,0.0,28642.4,42,0,7778637684768,2025-08-27 06:48:58.606656,147.22,Nağdsız_Bankın_Kartı,Ganjlik Mall Bouncers,Əyləncə/Asudə Vaxt,22.46,3.37,Təsdiqləndi,
10085,23,Kişi,2469.0,1,Aşağı,3,3703.5,0.0,Aktiv,689.41,4438.17,74,0,9781811487719,2025-09-10 20:11:43.320359,16.55,Nağdsız_Bankın_Kartı,Bazarstore,Supermarket,2.52,0.38,Təsdiqləndi,
10085,23,Kişi,2469.0,1,Aşağı,3,3703.5,0.0,Aktiv,689.41,4438.17,74,0,8365807781402,2025-04-07 22:07:12.982224,37.26,Nağdsız_Başqa_Kart,Mado,Restoran/Kafe,5.68,0.85,Təsdiqləndi,
10050,34,Kişi,1655.0,141,Orta,1,3310.0,1811.33,Yoxdur,0.0,2142.25,28,0,9367484602804,2025-04-10 17:14:29.255793,60.12,Nağdsız_Bankın_Kartı,Neptun,Supermarket,9.17,1.38,Təsdiqləndi,
10096,31,Qadın,2190.0,5,Aşağı,1,3285.0,1156.37,Aktiv,519.87,5827.61,69,0,2806339873923,2025-05-04 10:58:43.450101,38.49,Nağdsız_Bankın_Kartı,Mado,Restoran/Kafe,5.87,0.88,Təsdiqləndi,
10016,44,Kişi,3306.0,210,,3,9918.0,6315.53,Yoxdur,0.0,28642.4,42,0,1010247313769,2025-04-09 00:08:06.347587,131.9,Nağdsız_Bankın_Kartı,Socar,YDM,20.12,3.02,Gözləmədə,
10012,35,Kişi,2741.0,118,Aşağı,1,8223.0,2453.33,Yoxdur,0.0,37133.19,50,0,5073505241226,2025-05-05 00:43:21.538621,292.68,Nağdsız_Bankın_Kartı,Azpetrol,YDM,44.65,6.7,Təsdiqləndi,
10085,23,Kişi,2469.0,1,Aşağı,3,3703.5,0.0,Aktiv,689.41,4438.17,74,0,8046023980823,2025-06-07 11:01:33.848614,71.3,Nağd,Coffeesta,Restoran/Kafe,10.88,1.09,Təsdiqləndi,
10016,44,Kişi,3306.0,210,Aşağı,3,9918.0,6315.53,Yoxdur,0.0,28642.4,42,0,3221829897858,2025-09-06 16:47:37.758765,50.93,Nağdsız_Bankın_Kartı,Mado,Restoran/Kafe,7.77,1.17,Təsdiqləndi,
10012,35,Kişi,2741.0,118,Aşağı,1,8223.0,2453.33,Yoxdur,0.0,37133.19,50,0,4545266088635,2025-08-28 01:05:10.760010,66.88,Nağdsız_Başqa_Kart,Socar,YDM,10.2,1.53,Təsdiqləndi,
10078,23,Qadın,1999.0,4,Aşağı,1,2998.5,678.6,Yoxdur,0.0,2251.14,56,2,2608863664984,2025-06-19 00:15:32.398548,40.06,Nağdsız_Bankın_Kartı,Favorit,Supermarket,6.11,0.92,Təsdiqləndi,
10046,47,Qadın,2567.0,51,Aşağı,1,7701.0,4956.76,Yoxdur,0.0,35656.72,48,0,2904371881783,2025-08-28 06:48:58.951159,121.34,Nağdsız_Bankın_Kartı,KFC,Restoran/Kafe,18.51,2.78,Təsdiqləndi,
10007,72,Kişi,738.0,131,Aşağı,4,0.0,0.0,Yoxdur,0.0,4171.43,8,0,6174160980462,2025-05-23 11:38:29.950535,6.74,Nağdsız_Bankın_Kartı,Favorit,Supermarket,1.03,0.15,Təsdiqləndi,
10067,36,Kişi,1934.0,153,Orta,2,3868.0,2930.82,Aktiv,725.6,4468.34,32,0,2880725899884,2025-09-19 02:30:25.054417,15.74,Nağdsız_Bankın_Kartı,,Aptek,2.4,0.36,Təsdiqləndi,
10034,38,Kişi,973.0,141,Orta,1,1946.0,408.4,Aktiv,345.67,524.26,33,1,9995082595894,2025-07-12 23:27:19.834433,93.84,Nağdsız_Bankın_Kartı,Favorit,Supermarket,14.31,2.15,İmtina edildi,Çek tapılmadı
10050,34,Kişi,1655.0,141,Orta,1,3310.0,1811.33,Yoxdur,0.0,2142.25,28,0,6094213693374,2025-08-20 08:56:45.298904,66.22,Nağd,Ganjlik Mall Bouncers,Əyləncə/Asudə Vaxt,10.1,1.01,Təsdiqləndi,
10058,46,Qadın,3052.0,88,Aşağı,3,9156.0,3217.52,Yoxdur,0.0,42250.7,56,0,0100238113924,2025-06-21 03:07:55.519080,178.71,Nağdsız_Bankın_Kartı,Araz,Supermarket,27.26,4.09,Təsdiqləndi,
10012,35,Kişi,2741.0,118,Aşağı,1,8223.0,2453.33,Yoxdur,0.0,37133.19,50,0,8988811921605,2025-09-13 07:56:00.474308,165.98,Nağdsız_Bankın_Kartı,Azpetrol,YDM,25.32,3.8,Təsdiqləndi,
10014,23,Kişi,1440.0,58,Aşağı,3,2160.0,0.0,Aktiv,583.16,2242.2,57,0,3400542487486,2025-07-18 15:41:18.890131,46.22,Nağdsız_Bankın_Kartı,KFC,Restoran/Kafe,7.05,1.06,Təsdiqləndi,
10005,32,Qadın,2059.0,162,Aşağı,3,3088.5,1048.11,Aktiv,862.78,5729.03,46,0,4619040116650,2025-07-17 07:45:26.151779,67.29,Nağdsız_Bankın_Kartı,,Restoran/Kafe,10.26,1.54,Təsdiqləndi,
10058,46,Qadın,3052.0,88,Aşağı,3,9156.0,3217.52,Yoxdur,0.0,42250.7,56,0,8626696213398,2025-09-06 15:19:01.808590,257.9,Nağdsız_Bankın_Kartı,KFC,Restoran/Kafe,39.34,5.9,Təsdiqləndi,
10074,29,Qadın,1956.0,34,Aşağı,1,2934.0,1518.85,Yoxdur,0.0,9748.54,58,0,5174138340153,2025-08-02 02:48:56.359172,115.16,Nağdsız_Başqa_Kart,Park Cinema,Əyləncə/Asudə Vaxt,17.57,2.64,Təsdiqləndi,
10033,80,Kişi,727.0,54,Aşağı,3,0.0,0.0,Yoxdur,0.0,4369.4,14,0,4522885926014,2025-05-06 05:25:25.280282,109.2,Nağdsız_Bankın_Kartı,Azərişıq,Kommunal/Telekommunikasiya,16.66,2.5,Təsdiqləndi,
10088,30,Kişi,1902.0,132,Aşağı,2,2853.0,1864.91,Aktiv,442.81,7156.12,52,0,5586704930260,2025-05-24 05:35:36.528750,44.46,Nağdsız_Bankın_Kartı,Socar,YDM,6.78,1.02,Təsdiqləndi,
10054,29,Qadın,2417.0,64,Aşağı,4,3625.5,0.0,Aktiv,751.61,4938.75,66,1,6670105268053,2025-09-12 12:16:10.840014,24.55,Nağdsız_Başqa_Kart,Ganjlik Mall Bouncers,Əyləncə/Asudə Vaxt,3.74,0.56,Təsdiqləndi,
10011,54,Kişi,,300,Aşağı,4,9546.0,2277.84,Yoxdur,0.0,35253.94,52,0,7976763202007,2025-07-18 11:58:50.759957,86.01,Nağdsız_Bankın_Kartı,Coffeesta,Restoran/Kafe,13.12,1.97,Təsdiqləndi,
10011,54,Kişi,3182.0,300,,4,9546.0,2277.84,Yoxdur,0.0,35253.94,52,0,1386800410733,2025-06-22 19:51:41.080299,137.93,Nağdsız_Bankın_Kartı,Socar,YDM,21.04,3.16,Təsdiqləndi,
10026,40,Kişi,3334.0,109,Aşağı,1,10002.0,1472.5,Yoxdur,0.0,23166.74,33,0,7404300569873,2025-05-23 10:05:34.538653,96.17,Nağdsız_Başqa_Kart,Optimal,Elektronika/Məişət,14.67,2.2,Təsdiqləndi,
10071,36,Kişi,879.0,175,Orta,4,1758.0,0.0,Yoxdur,0.0,1670.26,32,0,9470841894182,2025-04-16 23:37:22.999950,27.29,Nağdsız_Bankın_Kartı,LC Waikiki,Geyim/Ayaqqabı,4.16,0.62,Təsdiqləndi,
10057,31,Kişi,1115.0,53,Orta,3,2230.0,0.0,Aktiv,382.52,2778.51,40,0,9891004612556,2025-06-08 16:21:57.836722,17.1,Nağdsız_Bankın_Kartı,Bazarstore,Supermarket,2.61,0.39,Təsdiqləndi,
10093,33,Qadın,1560.0,82,Aşağı,2,2340.0,852.84,Yoxdur,0.0,7227.29,47,0,3509958893564,2025-06-23 17:12:25.643043,29.07,Nağdsız_Bankın_Kartı,Araz,Supermarket,4.43,0.66,Təsdiqləndi,
10029,38,Qadın,1090.0,161,Orta,2,2180.0,0.0,Aktiv,476.21,1612.78,46,1,5625484931652,2025-05-10 23:53:04.969783,49.88 AZN,Nağdsız_Bankın_Kartı,Zəfəran Aptek,Aptek,7.61,1.14,Təsdiqləndi,
10026,40,Kişi,3334.0,109,Aşağı,1,10002.0,1472.5,Yoxdur,0.0,23166.74,33,0,8339092485005,2025-04-05 15:20:32.269247,210.76,Nağdsız_Bankın_Kartı,ZARA,Geyim/Ayaqqabı,32.15,4.82,Təsdiqləndi,
10011,54,Kişi,3182.0,300,Aşağı,4,9546.0,2277.84,Yoxdur,0.0,35253.94,52,0,4786829570729,2025-04-25 01:09:00.696466,142.91,Nağdsız_Bankın_Kartı,Neptun,Supermarket,21.8,3.27,Təsdiqləndi,
10046,47,Qadın,2567.0,51,Aşağı,1,7701.0,4956.76,Yoxdur,0.0,35656.72,48,0,7380729949002,2025-06-16 14:13:27.440385,135.66 AZN,Nağd,Bir-İki Dönər,Restoran/Kafe,20.69,2.07,Təsdiqləndi,
10016,44,Kişi,3306.0,210,Aşağı,3,9918.0,6315.53,Yoxdur,0.0,28642.4,42,0,4095772466534,2025-05-03 10:29:16.599511,96.53,Nağdsız_Bankın_Kartı,Hippokrat,Aptek,14.72,2.21,Təsdiqləndi,
10022,44,Qadın,2792.0,3,Aşağı,3,8376.0,5787.5,Yoxdur,0.0,25146.61,57,0,6007169100271,2025-06-09 12:14:10.840276,154.62,Nağdsız_Bankın_Kartı,ZARA,Geyim/Ayaqqabı,23.59,3.54,Təsdiqləndi,
10062,35,Qadın,1994.0,14,Orta,2,3988.0,0.0,Aktiv,688.17,5072.32,45,0,8441449567270,2025-09-16 18:39:49.939888,50.04,Nağdsız_Bankın_Kartı,Mango,Geyim/Ayaqqabı,7.63,1.14,Təsdiqləndi,
10026,40,Kişi,3334.0,109,Aşağı,1,10002.0,1472.5,Yoxdur,0.0,23166.74,33,0,0088465040508,2025-09-21 12:23:31.510437,84.98,Nağdsız_Bankın_Kartı,LC Waikiki,Geyim/Ayaqqabı,12.96,1.94,Təsdiqləndi,
10022,44,Qadın,2792.0,3,Aşağı,3,8376.0,5787.5,Yoxdur,0.0,25146.61,57,0,6721899780099,2025-05-22 17:00:48.304660,105.01,Nağdsız_Bankın_Kartı,Ganjlik Mall Bouncers,Əyləncə/Asudə Vaxt,16.02,2.4,Təsdiqləndi,
10016,44,Kişi,3306.0,210,Aşağı,3,9918.0,6315.53,Yoxdur,0.0,28642.4,42,0,8308509431260,2025-07-30 22:27:00.356936,91.92,Nağdsız_Bankın_Kartı,Lukoil,YDM,14.02,2.1,Təsdiqləndi,
10023,34,Kişi,1800.0,26,Aşağı,4,2700.0,404.67,Aktiv,593.32,6588.82,61,0,9256848854519,2025-05-07 09:47:00.440537,12.96,Nağdsız_Bankın_Kartı,Azpetrol,YDM,1.98,0.3,Təsdiqləndi,
10053,30,Kişi,1983.0,142,Orta,2,3966.0,0.0,Yoxdur,0.0,3039.7,25,0,3339948947334,2025-09-19 03:38:50.113312,12.92,Nağdsız_Bankın_Kartı,,Nəqliyyat,1.97,0.3,Təsdiqləndi,
10077,33,Kişi,2453.0,158,Aşağı,2,3679.5,2916.39,Yoxdur,0.0,7735.43,66,0,0103301356039,2025-07-26 00:35:47.691705,6.43,Nağd,Coffeesta,Restoran/Kafe,0.98,0.1,Təsdiqləndi,
10076,34,Qadın,1808.0,153,Orta,3,3616.0,1846.58,Yoxdur,0.0,4492.88,44,0,4351972958731,2025-04-21 03:36:57.763098,11.22,Nağdsız_Bankın_Kartı,Neptun,Supermarket,1.71,0.26,Təsdiqləndi,
10077,33,Kişi,2453.0,158,Aşağı,2,3679.5,2916.39,Yoxdur,0.0,7735.43,66,0,5438523575980,2025-04-10 09:43:29.033483,57.22,Nağdsız_Bankın_Kartı,Favorit,Supermarket,8.73,1.31,Təsdiqləndi,
10011,54,Kişi,3182.0,300,Aşağı,4,9546.0,2277.84,Yoxdur,0.0,35253.94,52,0,5815746958351,2025-04-23 13:10:53.869076,415.13,Nağdsız_Bankın_Kartı,Socar,YDM,63.32,9.5,Təsdiqləndi,
10064,33,Kişi,1473.0,175,Orta,4,2946.0,2478.64,Aktiv,334.67,1684.41,41,0,5417631314296,2025-05-01 21:56:43.980461,47.73,Nağd,Araz,Supermarket,7.28,0.73,Təsdiqləndi,
10012,35,Kişi,2741.0,118,Aşağı,1,8223.0,2453.33,Yoxdur,0.0,37133.19,50,0,1747358012473,2025-07-04 02:25:27.936515,319.29,Nağdsız_Bankın_Kartı,Neptun,Supermarket,48.71,7.31,Təsdiqləndi,
10050,34,Kişi,1655.0,141,Orta,1,3310.0,1811.33,Yoxdur,0.0,2142.25,28,0,3699905353074,2025-08-07 04:52:25.304427,15.43,Nağdsız_Bankın_Kartı,Neptun,Supermarket,2.35,0.35,Təsdiqləndi,
